Year,Month,Day,Hour,PM2_5(ug/m3),Ozone(ppbv),Temperature(K),Spec. humidity (g/kg),RH (%),U-wind (m/s),V-wind (m/s),Sur_Pressure (hPa)
2017,3,8,18,60.35,61.27,285.26,6.44,72.7,-3.1,-5.06,1004.78
2017,3,8,19,59.76,63.18,285.21,6.39,72.37,-2.5,-5.04,1004.88
2017,3,8,20,59.16,65.2,285.25,6.37,71.93,-2.01,-4.96,1005.13
2017,3,8,21,58.37,66.85,285.37,6.36,71.31,-1.48,-4.75,1005.26
2017,3,8,22,57.63,68.09,285.54,6.37,70.67,-0.86,-4.39,1005.35
2017,3,8,23,57.88,68.36,285.64,6.41,70.58,-0.26,-4.09,1005.45
2017,3,8,24,60.8,64.54,285.83,6.52,70.94,0.17,-3.57,1005.52
2017,3,9,1,54.45,63.74,286.55,6.61,68.68,0.09,-3.21,1006.78
2017,3,9,2,51.65,62.05,287.27,6.57,65.06,-1.02,-2.94,1004.29
2017,3,9,3,50.99,62.97,288.05,6.64,62.52,-1.87,-2.44,1003.88
2017,3,9,4,51.28,66.04,288.72,6.78,61.12,-2.69,-1.99,1003.39
2017,3,9,5,53.73,70.04,289.22,6.95,60.61,-3.26,-1.53,1002.84
2017,3,9,6,52.26,74.15,289.61,7.09,60.3,-3.86,-1.14,1002.28
2017,3,9,7,50.52,77.04,289.74,7.22,60.82,-4.52,-0.84,1001.87
2017,3,9,8,49.37,76.67,289.61,7.37,62.6,-4.99,-0.76,1001.61
2017,3,9,9,48.29,73.2,289.35,7.49,64.62,-5.17,-1.12,1001.55
2017,3,9,10,48.65,64,288.98,7.54,66.59,-4.97,-1.77,1001.59
2017,3,9,11,52.68,52.56,288.55,7.57,68.72,-4.2,-2.35,1001.58
2017,3,9,12,58.27,43.92,288.19,7.58,70.42,-3.45,-2.94,1001.38
2017,3,9,13,61.17,41.71,287.94,7.54,71.16,-2.9,-3.65,1001.35
2017,3,9,14,58.79,45.1,287.82,7.51,71.43,-2.69,-4.42,1001.47
2017,3,9,15,53.05,47.28,287.75,7.5,71.65,-2.55,-5.05,1001.53
2017,3,9,16,45.16,47.32,287.66,7.53,72.43,-2.57,-5.44,1001.57
2017,3,9,17,35.38,46.68,287.54,7.6,73.73,-2.7,-5.73,1001.56
2017,3,9,18,26.85,44.99,286.91,7.9,79.94,-2.54,-6.07,1001.61
2017,3,9,19,22.23,42.39,286.18,8.24,87.44,-2.43,-6.13,1001.41
2017,3,9,20,19.61,39,285.85,8.45,91.53,-2.2,-5.75,1001.21
2017,3,9,21,17.46,36.19,285.83,8.55,92.62,-2.15,-5.4,1001.12
2017,3,9,22,16.29,33.79,285.88,8.57,92.61,-2.41,-5.13,1000.98
2017,3,9,23,16.29,30.98,285.98,8.59,92.14,-2.83,-4.87,1000.8
2017,3,9,24,15.09,30.24,286.14,8.6,91.38,-3.26,-4.68,1000.58
2017,3,10,1,13.79,30.5,286.87,8.78,88.97,-2.46,-3.84,1002.42
2017,3,10,2,14.4,30.85,286.78,8.65,88.05,-3.53,-4.56,1000.14
2017,3,10,3,13.76,34.76,286.87,8.58,86.89,-4.64,-5.22,1001.03
2017,3,10,4,15.27,38.73,286.88,8.59,86.89,-5.28,-5.5,1000.48
2017,3,10,5,19.31,42.64,286.8,8.61,87.53,-5.7,-5.61,1000.56
2017,3,10,6,22.81,45.63,286.63,8.58,88.28,-5.96,-5.79,1000.63
2017,3,10,7,23.99,46.25,286.45,8.51,88.51,-6.08,-5.83,1000.66
2017,3,10,8,22.84,44.94,286.26,8.43,88.87,-6.05,-5.73,1000.99
2017,3,10,9,20.17,41.94,286.19,8.34,88.41,-5.79,-5.57,1001.39
2017,3,10,10,18.96,35.43,286.11,8.28,88.17,-5.31,-5.22,1001.85
2017,3,10,11,20.71,29.45,286,8.25,88.6,-4.95,-4.8,1002.2
2017,3,10,12,21.67,27.14,285.9,8.19,88.56,-4.73,-4.62,1002.5
2017,3,10,13,20.14,29.48,285.79,8.09,88.22,-4.71,-4.77,1002.74
2017,3,10,14,16.29,34.11,285.79,8,87.17,-4.65,-5.15,1002.58
2017,3,10,15,12.83,36.77,285.86,7.93,85.99,-4.55,-5.61,1002.37
2017,3,10,16,10.65,38.18,285.9,7.88,85.15,-4.46,-6.11,1002.31
2017,3,10,17,9.58,38.95,285.83,7.82,84.88,-4.43,-6.61,1002.25
2017,3,10,18,9.03,38.72,285.68,7.78,85.25,-4.42,-6.97,1002.2
2017,3,10,19,8.32,37.74,285.55,7.76,85.69,-4.41,-7.03,1002.03
2017,3,10,20,7.28,37.07,285.63,7.78,85.51,-4.21,-6.86,1002.16
2017,3,10,21,6.3,36.84,285.83,7.83,84.9,-3.93,-6.62,1002.41
2017,3,10,22,6.21,36.61,286.11,7.9,84.09,-3.62,-6.33,1002.59
2017,3,10,23,7.85,35.33,286.37,7.98,83.58,-3.19,-5.92,1002.78
2017,3,10,24,10.73,32.82,286.7,8.16,83.71,-2.3,-4.87,1002.97
2017,3,11,1,7.47,34.91,288.32,8.97,82.9,-1.12,-3.4,1004.38
2017,3,11,2,7.29,36.31,289.06,8.97,79.03,-2.33,-3.74,1003.37
2017,3,11,3,8.51,38.6,289.71,9.12,76.96,-3.63,-3.08,1002.39
2017,3,11,4,11.12,42.1,290.24,9.31,75.89,-4.43,-2.56,1001.98
2017,3,11,5,14.17,45.24,290.54,9.49,75.9,-5,-2.25,1001.72
2017,3,11,6,16.85,47.2,290.52,9.61,76.9,-5.58,-2.12,1001.53
2017,3,11,7,19.53,47.25,290.28,9.7,78.86,-6.07,-2.12,1001.4
2017,3,11,8,20.95,45.51,289.9,9.76,81.31,-6.33,-2.16,1001.76
2017,3,11,9,22.32,40.6,289.42,9.78,83.99,-6.31,-2.28,1002.25
2017,3,11,10,23.94,31.27,288.92,9.75,86.5,-6.09,-2.38,1002.7
2017,3,11,11,26.65,24.46,288.5,9.68,88.31,-5.94,-2.67,1003.19
2017,3,11,12,29.3,20.71,288.19,9.63,89.7,-5.78,-3.02,1003.61
2017,3,11,13,30.72,20.74,287.95,9.59,90.79,-5.56,-3.41,1003.74
2017,3,11,14,30.28,22.18,287.76,9.52,91.21,-5.22,-3.86,1003.38
2017,3,11,15,27.9,22.09,287.67,9.43,90.79,-4.84,-4.29,1003.05
2017,3,11,16,24.55,21.49,287.65,9.34,90.02,-4.53,-4.68,1002.76
2017,3,11,17,20.41,20.85,287.63,9.22,89.03,-4.34,-4.98,1002.48
2017,3,11,18,16.18,20.51,287.59,9.12,88.27,-4.24,-5.21,1002.2
2017,3,11,19,12.96,20.19,287.6,9.05,87.54,-4.22,-5.37,1002.24
2017,3,11,20,10.6,20.08,287.66,9.05,87.14,-4.3,-5.35,1002.48
2017,3,11,21,9.06,19.9,287.71,9.07,87.03,-4.44,-5.26,1002.69
2017,3,11,22,8.7,19.61,287.77,9.1,87.07,-4.55,-5.14,1002.88
2017,3,11,23,10.32,18.74,287.8,9.13,87.16,-4.6,-4.99,1003.06
2017,3,11,24,14.01,17.26,287.86,9.22,87.7,-4.2,-4.39,1003.26
2017,3,12,1,12.79,18.14,289.18,10.07,88.07,-3.19,-2.29,1004.31
2017,3,12,2,14.03,19.05,289.7,10.16,85.73,-3.39,-1.42,1002.08
2017,3,12,3,14.95,22.24,290.31,10.25,83.19,-3.28,-0.76,1001.57
2017,3,12,4,16.37,26.85,290.75,10.33,81.36,-2.71,0.25,1000.68
2017,3,12,5,18.16,32.24,291.06,10.38,80.09,-1.95,1.28,1000.16
2017,3,12,6,20.15,36.44,291.26,10.43,79.42,-1.31,2.27,999.37
2017,3,12,7,21.27,38.38,291.32,10.46,79.25,-0.83,3.04,998.97
2017,3,12,8,21.56,36.51,291.19,10.49,80.19,-0.46,3.36,999.1
2017,3,12,9,21.61,32.03,290.92,10.53,81.87,-0.17,3.31,999.11
2017,3,12,10,22.72,24.13,290.51,10.55,84.19,0.02,3.13,999.18
2017,3,12,11,24.95,18.32,290.12,10.58,86.58,0.3,2.72,999.25
2017,3,12,12,26.85,14.71,290,10.66,88,0.76,2.19,999.32
2017,3,12,13,27.23,14.45,290.04,10.76,88.53,1.39,1.77,999.26
2017,3,12,14,27.23,14.14,290.14,10.85,88.7,1.97,1.64,999
2017,3,12,15,26.26,14.74,290.29,10.93,88.55,2.58,1.72,998.88
2017,3,12,16,25.04,16.51,290.41,11.02,88.58,3.12,1.86,998.77
2017,3,12,17,23.61,18,290.49,11.1,88.77,3.6,1.96,998.68
2017,3,12,18,22.09,19.55,290.56,11.18,88.96,4.01,2.01,998.58
2017,3,12,19,20.58,20.27,290.6,11.24,89.2,4.25,1.98,998.46
2017,3,12,20,19.28,20.41,290.69,11.29,89.13,4.26,1.89,998.7
2017,3,12,21,18.09,20.32,290.82,11.35,88.89,4.15,1.89,998.91
2017,3,12,22,17.29,20.17,290.96,11.42,88.62,4.02,1.99,999.07
2017,3,12,23,17.3,20.02,291.01,11.47,88.71,3.82,2.05,999.28
2017,3,12,24,17.61,20.44,291.36,11.66,88.24,3.06,1.87,999.46
2017,3,13,1,16.05,22.57,292.26,12.01,86.14,3.13,2.23,1002.89
2017,3,13,2,16.57,28.38,292.85,12.26,84.42,2.42,2.81,997.71
2017,3,13,3,17.28,39.73,293.72,12.47,81.42,1.68,3.48,998.2
2017,3,13,4,19.79,52.2,294.23,12.63,79.88,0.94,4.17,997.36
2017,3,13,5,22.92,60.88,294.54,12.75,79.12,0.23,4.99,996.98
2017,3,13,6,24.1,62.7,294.61,12.86,79.41,-0.53,5.66,996.33
2017,3,13,7,21.95,57.49,294.33,12.87,80.8,-1.39,6.04,996.03
2017,3,13,8,18.08,47.21,293.6,12.73,83.61,-2.32,5.78,996.44
2017,3,13,9,15.81,36.05,292.56,12.45,87.18,-3.42,4.53,996.86
2017,3,13,10,17.36,26.25,291.44,12.04,90.48,-4.54,2.48,997.49
2017,3,13,11,21.48,22.91,290.36,11.51,92.67,-5.3,0.44,998.14
2017,3,13,12,23.32,19.89,289.5,10.96,93.23,-5.56,-1.1,998.78
2017,3,13,13,19.44,20.05,288.88,10.44,92.54,-5.63,-2.18,999.36
2017,3,13,14,14.32,22.32,288.33,9.98,91.69,-5.96,-3.11,999.77
2017,3,13,15,10.93,22.88,287.74,9.54,91.09,-6.38,-3.96,1000.21
2017,3,13,16,8.86,23.33,287.15,9.13,90.72,-6.72,-4.77,1000.7
2017,3,13,17,7.98,24.85,286.6,8.78,90.42,-7.12,-5.51,1001.15
2017,3,13,18,7.52,26.19,286.13,8.5,90.39,-7.36,-6.24,1001.63
2017,3,13,19,7.02,25.97,285.74,8.3,90.67,-7.59,-6.74,1002.12
2017,3,13,20,6.37,24.66,285.49,8.15,90.59,-7.54,-6.94,1002.92
2017,3,13,21,5.74,23.16,285.34,8.04,90.33,-7.29,-6.98,1003.64
2017,3,13,22,6.13,21.72,285.26,7.93,89.67,-7.01,-6.87,1004.32
2017,3,13,23,8.33,20.42,285.26,7.83,88.56,-6.87,-6.81,1004.94
2017,3,13,24,10.1,21.03,285.48,7.78,86.71,-6.91,-6.75,1005.5
2017,3,14,1,12.32,21.17,286.22,7.99,84.91,-5.73,-5,1007.37
2017,3,14,2,14.89,23.75,286.41,7.86,82.27,-6.14,-5.3,1005.05
2017,3,14,3,17.83,30.65,286.94,7.88,79.85,-6.49,-5.13,1005.85
2017,3,14,4,21.7,42,287.41,8.01,78.62,-6.89,-4.89,1005.01
2017,3,14,5,26.86,54.9,287.58,8.06,78.19,-7.47,-4.65,1005.17
2017,3,14,6,30.41,66.24,287.44,8.03,78.62,-8.05,-4.62,1004.89
2017,3,14,7,31.63,72.74,287.23,7.97,79.1,-8.45,-4.77,1004.94
2017,3,14,8,30.01,72.84,286.96,7.86,79.51,-8.61,-5.1,1005.26
2017,3,14,9,27.27,68.1,286.61,7.71,79.76,-8.62,-5.54,1005.51
2017,3,14,10,25.08,59.34,286.2,7.52,80.04,-8.47,-5.87,1005.94
2017,3,14,11,23.41,51.79,285.73,7.31,80.25,-8.07,-6.05,1006.42
2017,3,14,12,21.75,48.11,285.41,7.1,79.7,-7.79,-6.45,1006.85
2017,3,14,13,19.5,47.28,285.18,6.95,79.25,-7.55,-6.98,1007.02
2017,3,14,14,17.24,48.61,285.01,6.79,78.33,-7.11,-7.46,1006.86
2017,3,14,15,16.36,48.86,284.91,6.69,77.72,-6.75,-7.72,1006.79
2017,3,14,16,15.81,49.06,284.83,6.6,77.09,-6.5,-7.87,1006.72
2017,3,14,17,15.55,49.16,284.73,6.54,76.84,-6.43,-7.96,1006.65
2017,3,14,18,15.5,49.45,284.62,6.48,76.61,-6.64,-8.04,1006.57
2017,3,14,19,15.76,49.37,284.5,6.42,76.56,-6.89,-8.15,1006.6
2017,3,14,20,16.15,48.99,284.42,6.36,76.2,-7.06,-8.25,1006.96
2017,3,14,21,16.34,48.02,284.32,6.29,75.83,-7.11,-8.3,1007.28
2017,3,14,22,17.72,46.32,284.21,6.21,75.47,-7.09,-8.29,1007.58
2017,3,14,23,20.22,44.26,284.26,6.13,74.2,-7.21,-8.32,1007.89
2017,3,14,24,21.41,44.05,284.76,5.87,68.71,-6.94,-7.72,1008.19
2017,3,15,1,18.76,46.22,285.71,4.97,54.88,-6.18,-6.09,1010.65
2017,3,15,2,20.41,47.83,285.59,5.21,57.74,-7.3,-6.49,1007.62
2017,3,15,3,21.55,52.32,286.04,5.6,60.21,-7.39,-6.11,1007.16
2017,3,15,4,23.07,57.64,286.53,5.91,61.56,-7.53,-5.48,1006.02
2017,3,15,5,23.87,60.99,286.9,6.11,62.01,-7.65,-4.8,1005.13
2017,3,15,6,21.93,60.66,287.08,6.29,63.09,-7.83,-4.2,1004.58
2017,3,15,7,18.14,56.89,287,6.46,65.03,-8.02,-3.61,1004.14
2017,3,15,8,13.57,51.32,286.78,6.57,67.14,-7.92,-3.58,1004.28
2017,3,15,9,10.39,45.57,286.46,6.66,69.5,-7.71,-3.96,1004.46
2017,3,15,10,9.54,38.9,286.03,6.74,72.32,-7.41,-4.41,1004.68
2017,3,15,11,10.35,34.31,285.57,6.8,75.27,-6.97,-4.72,1004.86
2017,3,15,12,12.24,31.58,285.27,6.85,77.27,-6.71,-5.17,1005.01
2017,3,15,13,13.05,31.93,284.99,6.89,79.23,-6.32,-5.65,1004.99
2017,3,15,14,12.69,32.66,284.72,6.9,80.74,-5.82,-5.73,1004.72
2017,3,15,15,12.07,31.82,284.54,6.9,81.66,-5.37,-5.53,1004.52
2017,3,15,16,11.37,30.89,284.42,6.9,82.32,-5.07,-5.31,1004.42
2017,3,15,17,10.65,30.25,284.32,6.88,82.58,-4.91,-5.15,1004.36
2017,3,15,18,10.06,29.93,284.23,6.83,82.52,-4.83,-5.04,1004.32
2017,3,15,19,9.5,30.46,284.17,6.75,81.97,-4.82,-4.95,1004.28
2017,3,15,20,9.2,30.95,284.14,6.7,81.46,-4.73,-4.97,1004.5
2017,3,15,21,9.11,31.57,284.14,6.66,80.97,-4.52,-4.98,1004.74
2017,3,15,22,9.72,32.46,284.18,6.63,80.43,-4.23,-4.9,1004.96
2017,3,15,23,13.36,32.29,284.27,6.69,80.66,-3.12,-4.25,1005.12
2017,3,15,24,14.64,36.73,284.96,6.87,79.17,-1.99,-3.38,1005.23
2017,3,16,1,15.97,40.59,285.81,7.01,76.53,-0.63,-2.28,1006.91
2017,3,16,2,18.72,41.67,286.28,7.14,75.43,-1,-1.96,1004.35
2017,3,16,3,21.69,43.96,286.88,7.31,74.28,-1.18,-1.65,1005.06
2017,3,16,4,25.25,46.49,287.32,7.49,73.9,-1.27,-1.34,1004.18
2017,3,16,5,28.86,49.21,287.65,7.65,73.86,-1.35,-1.04,1004.11
2017,3,16,6,31.4,51.51,287.77,7.78,74.5,-1.46,-0.79,1003.74
2017,3,16,7,33.46,52.36,287.75,7.87,75.53,-1.69,-0.76,1003.69
2017,3,16,8,34.34,51.62,287.68,7.96,76.68,-1.9,-0.82,1003.69
2017,3,16,9,35.1,48.89,287.59,8.02,77.77,-2.08,-0.92,1003.78
2017,3,16,10,36.94,42.6,287.39,8.05,79.04,-2.31,-1.22,1004.03
2017,3,16,11,40.12,36.78,287.13,8.05,80.34,-2.67,-1.7,1004.25
2017,3,16,12,44.34,30.9,286.86,8.04,81.7,-2.89,-2.16,1004.44
2017,3,16,13,47.39,28.01,286.59,8.03,83.07,-2.83,-2.63,1004.6
2017,3,16,14,48.2,28.06,286.32,8.02,84.48,-2.85,-3.04,1004.56
2017,3,16,15,46.8,29.78,286.1,8.01,85.61,-3.06,-3.49,1004.52
2017,3,16,16,44.01,30.91,285.92,7.99,86.39,-3.4,-3.96,1004.46
2017,3,16,17,40.2,30.66,285.74,7.97,87.12,-3.79,-4.41,1004.45
2017,3,16,18,35.58,29.44,285.57,7.94,87.92,-4.14,-4.83,1004.43
2017,3,16,19,30.59,28.8,285.44,7.91,88.31,-4.35,-5.21,1004.43
2017,3,16,20,26.12,28.96,285.4,7.87,88.08,-4.41,-5.54,1004.69
2017,3,16,21,22.79,29.48,285.41,7.83,87.58,-4.43,-5.7,1004.89
2017,3,16,22,21.83,29.97,285.46,7.79,86.88,-4.41,-5.8,1005.1
2017,3,16,23,24.6,31.46,285.6,7.77,85.85,-4.44,-5.59,1005.27
2017,3,16,24,26.78,34.71,286.29,7.9,83.44,-4.1,-4.79,1005.4
2017,3,17,1,26.87,39.06,287.58,8.29,80.51,-3.17,-3.08,1006.39
2017,3,17,2,26.57,43.28,287.95,8.25,78.14,-4.53,-2.89,1004.75
2017,3,17,3,27.16,48.3,288.5,8.33,76.2,-5.02,-2.81,1005.34
2017,3,17,4,28.88,53.46,288.98,8.51,75.46,-5.48,-2.29,1004.43
2017,3,17,5,30.08,57.57,289.43,8.72,75.08,-5.8,-1.67,1004.23
2017,3,17,6,28.86,59.21,289.7,8.88,75.18,-6.17,-1.02,1003.88
2017,3,17,7,26.65,57.34,289.68,8.97,76.04,-6.49,-0.59,1003.7
2017,3,17,8,22.75,52.45,289.4,9,77.57,-6.57,-0.5,1003.79
2017,3,17,9,19.14,45.72,288.98,8.98,79.5,-6.51,-0.77,1004
2017,3,17,10,17.45,36.92,288.47,8.94,81.85,-6.31,-1.25,1004.35
2017,3,17,11,18.33,30.67,287.93,8.9,84.37,-5.92,-1.82,1004.65
2017,3,17,12,20.21,26.72,287.55,8.87,86.21,-5.45,-2.37,1004.93
2017,3,17,13,20.62,25.93,287.29,8.85,87.52,-4.95,-2.79,1005.26
2017,3,17,14,20.45,26.38,287.06,8.8,88.45,-4.62,-3.22,1005.26
2017,3,17,15,20.14,26.17,286.84,8.72,88.88,-4.42,-3.65,1005.31
2017,3,17,16,19.76,25.85,286.67,8.62,88.86,-4.21,-4.06,1005.36
2017,3,17,17,19.37,25.62,286.56,8.52,88.44,-3.98,-4.39,1005.44
2017,3,17,18,18.87,25.65,286.51,8.43,87.79,-3.67,-4.67,1005.51
2017,3,17,19,18.25,25.81,286.57,8.38,86.92,-3.44,-4.82,1005.47
2017,3,17,20,17.55,26.04,286.75,8.38,85.9,-3.34,-4.75,1005.7
2017,3,17,21,16.66,26.59,287.01,8.43,84.97,-3.25,-4.48,1005.93
2017,3,17,22,16.48,26.95,287.29,8.51,84.2,-3.21,-4.12,1006.15
2017,3,17,23,19.61,25.81,287.49,8.64,84.36,-2.91,-3.56,1006.36
2017,3,17,24,21.59,26.09,288.21,8.97,83.68,-2.18,-2.51,1006.54
2017,3,18,1,16.4,29.5,289.39,9.42,81.7,-0.45,-1.1,1008.77
2017,3,18,2,17.98,29.96,289.91,9.58,80.09,-1.56,-0.46,1005.17
2017,3,18,3,19.27,33.85,290.71,9.78,77.81,-2.04,0.05,1006.05
2017,3,18,4,21.27,39.51,291.22,10.02,77.17,-2.25,0.71,1005.42
2017,3,18,5,25.02,45.02,291.52,10.26,77.51,-2.34,1.27,1005.04
2017,3,18,6,25.55,49.17,291.74,10.41,77.53,-2.47,1.69,1004.68
2017,3,18,7,25.53,50.43,291.7,10.5,78.36,-2.83,1.93,1004.16
2017,3,18,8,24.57,48.14,291.52,10.55,79.62,-3.05,1.7,1003.99
2017,3,18,9,23.9,43.16,291.18,10.59,81.59,-3.24,1.2,1003.98
2017,3,18,10,24.57,33.03,290.67,10.63,84.46,-3.56,0.37,1004.02
2017,3,18,11,25.83,23.19,290.17,10.64,87.21,-3.65,-0.72,1004.11
2017,3,18,12,27.08,16.55,289.87,10.69,89.4,-3.77,-1.99,1004.1
2017,3,18,13,28.59,14.14,289.63,10.73,91.05,-3.8,-3.14,1004.37
2017,3,18,14,28.58,15.92,289.4,10.71,92.26,-3.9,-3.6,1004.63
2017,3,18,15,28.4,17.71,289.09,10.63,93.41,-4.16,-3.67,1004.71
2017,3,18,16,26.95,18.22,288.76,10.51,94.41,-4.46,-3.62,1004.9
2017,3,18,17,24.06,17.97,288.48,10.38,94.91,-4.62,-3.6,1005.09
2017,3,18,18,21.04,17.98,288.24,10.25,95.27,-4.85,-3.57,1005.25
2017,3,18,19,17.45,18.62,288.01,10.14,95.55,-5.06,-3.53,1005.15
2017,3,18,20,15.76,19.72,287.84,10.02,95.55,-5.23,-3.62,1005.12
2017,3,18,21,14.29,20.52,287.65,9.88,95.36,-5.25,-3.83,1005.25
2017,3,18,22,14.23,21.01,287.48,9.74,95.11,-5.28,-4.01,1005.38
2017,3,18,23,16.5,22.28,287.41,9.65,94.68,-5.35,-4.09,1005.45
2017,3,18,24,18.98,25.71,287.76,9.7,93.01,-5.15,-3.81,1005.47
2017,3,19,1,21.96,29.19,289.38,10.26,88.93,-3.47,-1.06,1008.15
2017,3,19,2,26.82,34.37,289.61,10.39,88.47,-3.69,-1.06,1004.12
2017,3,19,3,31.75,43.04,290.17,10.58,86.96,-3.84,-0.81,1005.03
2017,3,19,4,36.83,52.25,290.52,10.78,86.61,-3.93,-0.49,1004.06
2017,3,19,5,40.7,59.44,290.81,10.97,86.43,-3.94,-0.23,1003.65
2017,3,19,6,41.38,62.14,290.96,11.14,86.83,-4.07,-0.06,1003.29
2017,3,19,7,41.01,59.92,290.7,11.23,88.95,-4.23,0.07,1002.91
2017,3,19,8,39.11,54.02,290.21,11.23,91.74,-4.21,0.11,1002.98
2017,3,19,9,36.18,45.57,289.83,11.16,93.45,-4.08,-0.02,1002.97
2017,3,19,10,34.63,32.92,289.56,11.05,94.17,-3.92,-0.19,1003.08
2017,3,19,11,34.73,22.76,289.27,10.96,95.08,-3.69,-0.24,1003.08
2017,3,19,12,35.29,15.61,289.02,10.87,95.88,-3.45,-0.26,1003.08
2017,3,19,13,34.13,13.86,288.84,10.81,96.36,-3.17,-0.49,1002.94
2017,3,19,14,32.62,14.72,288.72,10.76,96.59,-2.95,-0.77,1002.47
2017,3,19,15,28.88,15.51,288.6,10.74,97.1,-2.73,-1.05,1002.04
2017,3,19,16,27.88,16.19,288.49,10.7,97.38,-2.33,-1.37,1001.75
2017,3,19,17,26.67,16.35,288.4,10.67,97.67,-2.03,-1.76,1001.52
2017,3,19,18,25.73,15.99,288.3,10.66,98.08,-1.71,-2.13,1001.26
2017,3,19,19,24.91,15.42,288.37,10.7,98.09,-1.35,-2.17,1001.14
2017,3,19,20,24.45,14.98,288.58,10.82,97.79,-1.01,-1.86,1001.28
2017,3,19,21,22.62,14.42,288.84,10.94,97.38,-0.65,-1.45,1001.46
2017,3,19,22,21.77,13.87,289.13,11.08,96.9,-0.25,-0.97,1001.64
2017,3,19,23,22.67,14.65,289.36,11.22,96.51,0.15,-0.53,1001.82
2017,3,19,24,24.06,16.3,289.99,11.38,94.2,0.48,0,1001.93
2017,3,20,1,22.7,17.51,290.9,11.66,91.04,0.93,0.62,1001.86
2017,3,20,2,21.63,20.89,291.79,11.96,88.25,0.87,1.21,1001.07
2017,3,20,3,22.27,27.89,292.68,12.23,85.37,0.75,1.91,1001.02
2017,3,20,4,24.87,38.25,293.41,12.48,83.14,0.59,2.49,1000.31
2017,3,20,5,28.14,49.94,294.06,12.69,81.22,0.48,2.97,999.91
2017,3,20,6,30.01,58.91,294.57,12.88,79.82,0.37,3.4,999.37
2017,3,20,7,30.37,61.63,294.68,12.98,79.81,0.3,3.49,999.07
2017,3,20,8,29.23,58.05,294.49,13.01,80.96,0.31,3.2,999.19
2017,3,20,9,27.25,50.28,294.16,13.02,82.69,0.38,2.76,999.47
2017,3,20,10,26.63,37.97,293.7,13,84.94,0.49,2.23,999.79
2017,3,20,11,25.99,32.48,293.36,12.88,86.03,0.9,1.64,1000.11
2017,3,20,12,25.67,27.53,293.15,12.81,86.74,1.2,1.04,1000.38
2017,3,20,13,25.44,24.34,293.02,12.76,87.14,1.36,0.39,1000.62
2017,3,20,14,25.13,22.29,292.95,12.69,87.06,1.39,-0.26,1000.76
2017,3,20,15,25.16,20.65,292.88,12.63,86.98,1.37,-0.86,1000.89
2017,3,20,16,24.96,19.53,292.82,12.56,86.9,1.34,-1.42,1001.04
2017,3,20,17,23.97,19.08,292.75,12.49,86.79,1.31,-1.99,1001.25
2017,3,20,18,22.1,19.56,292.67,12.41,86.65,1.29,-2.55,1001.44
2017,3,20,19,19.44,20.75,292.61,12.35,86.6,0.9,-2.99,1001.68
2017,3,20,20,17.07,21.15,292.55,12.35,86.95,0.03,-3.2,1002.13
2017,3,20,21,15.57,20.67,292.42,12.34,87.65,-1.04,-3.33,1002.56
2017,3,20,22,15.22,18.64,292.21,12.32,88.7,-2.23,-3.48,1002.97
2017,3,20,23,19.03,15.81,291.91,12.27,90.05,-3.29,-3.51,1003.36
2017,3,20,24,23.48,19.24,292.03,12.21,88.96,-4.21,-3.36,1003.69
2017,3,21,1,28.43,25.46,292.07,11.99,87.41,-3.86,-1.96,1006.71
2017,3,21,2,32.89,36.56,291.89,11.66,85.69,-5.52,-2.59,1003.01
2017,3,21,3,33.15,48.77,291.98,11.43,83.53,-6.18,-2.64,1003.78
2017,3,21,4,32.46,57.43,291.94,11.32,82.87,-7.02,-2.64,1003.15
2017,3,21,5,37.55,67.59,291.73,11.19,83.06,-7.83,-2.82,1003.1
2017,3,21,6,47.26,81.02,291.21,10.96,84.03,-8.67,-3.33,1002.85
2017,3,21,7,51.36,88.04,290.68,10.63,84.34,-9.14,-3.93,1003.04
2017,3,21,8,46.55,85.71,290.13,10.29,84.55,-9.31,-4.49,1003.39
2017,3,21,9,39.56,78.21,289.48,9.93,85.13,-9.41,-4.96,1003.63
2017,3,21,10,36.5,69.39,288.81,9.55,85.52,-9.23,-5.29,1003.95
2017,3,21,11,34.89,63.9,288.2,9.24,86.11,-8.93,-5.49,1004.26
2017,3,21,12,33.71,59.47,287.71,9,86.57,-8.7,-5.72,1004.54
2017,3,21,13,31.64,56.78,287.27,8.8,87.19,-8.31,-5.98,1004.65
2017,3,21,14,28.61,56.08,286.87,8.62,87.6,-7.79,-6.36,1004.31
2017,3,21,15,25.7,56.52,286.61,8.47,87.51,-7.35,-6.7,1003.96
2017,3,21,16,22.27,56.8,286.41,8.37,87.57,-7.1,-6.99,1003.63
2017,3,21,17,19.04,55.56,286.22,8.26,87.49,-6.88,-7.29,1003.34
2017,3,21,18,16.62,52.97,286.06,8.14,87.19,-6.59,-7.54,1003.05
2017,3,21,19,14.82,49.89,285.96,8.06,86.84,-6.45,-7.66,1002.66
2017,3,21,20,13.61,47.54,285.96,8.02,86.28,-6.38,-7.57,1002.56
2017,3,21,21,12.85,45.67,286.01,7.99,85.71,-6.04,-7.36,1002.53
2017,3,21,22,13.27,43.82,286.04,7.97,85.36,-5.59,-7.06,1002.45
2017,3,21,23,14.73,41.69,286.16,7.98,84.75,-5.52,-6.72,1002.37
2017,3,21,24,16.52,39.17,286.6,8.13,83.82,-4.73,-5.66,1002.24
2017,3,22,1,16.28,37.92,288.13,8.31,77.57,-2.43,-3.55,1002.13
